Date,Label,sentiment,risk_score_normalized,num_active_themes,geopolitical_conflict,economy,technology,energy,disaster,government_policy
2008-08-08,0,-0.04856819425784943,26.614633267145994,3,1,0,0,1,0,1
2008-08-11,1,0.12195640616693249,4.941948320863798,3,1,0,0,1,0,1
2008-08-12,0,-0.046529581529581546,26.3555374459145,2,1,0,0,0,0,1
2008-08-13,0,0.01139770723104056,57.12157115433267,4,1,0,1,1,0,1
2008-08-14,1,0.04067685786435787,27.981524591849038,3,1,1,0,1,0,0
2008-08-15,1,0.04775641025641026,52.50059146130677,4,1,0,1,1,0,1
2008-08-18,0,0.016758935508935504,56.44019022100999,4,1,0,1,1,0,1
2008-08-19,0,-0.025813692480359147,61.85092363688591,4,1,0,1,1,0,1
2008-08-20,1,0.03838383838383839,53.69179083561778,3,1,0,1,0,0,1
2008-08-21,1,0.049074074074074076,14.204868847662341,3,1,0,0,1,0,1
2008-08-22,1,0.08011363636363637,22.969339408115466,4,1,1,0,1,0,1
2008-08-25,0,-0.08321212121212118,81.85534850254056,5,1,1,1,1,0,1
2008-08-26,1,0.034424603174603184,28.77614979992708,4,1,1,0,1,0,1
2008-08-27,1,-0.00011961722488037186,33.16651930419797,3,1,1,0,0,0,1
2008-08-28,1,0.0019886363636363613,20.18915413268336,2,1,0,0,1,0,0
2008-08-29,0,-0.06444559228650137,28.632558213954358,3,1,0,0,0,1,1
2008-09-02,0,-0.017261904761904756,22.635785948972714,4,1,0,0,1,1,1
2008-09-03,1,0.003595478595478582,70.82260743828034,5,1,1,1,1,0,1
2008-09-04,0,-0.08497474747474744,43.95111284319474,4,1,1,0,1,0,1
2008-09-05,1,0.03714285714285715,28.43067552987339,5,1,1,0,1,1,1
2008-09-08,1,-0.11931269213877913,35.60584749920994,3,1,0,0,0,1,1
2008-09-09,0,-0.05564263322884014,40.22317171753696,4,1,1,0,1,0,1
2008-09-10,1,0.0005952380952381055,71.20392055652142,5,1,1,1,1,0,1
2008-09-11,1,0.07089285714285713,11.431828417231342,4,1,0,0,1,1,1
2008-09-12,0,0.011061917880099692,19.03599282196694,4,1,0,0,1,1,1
2008-09-15,0,-0.032983193277310925,37.343288686552754,4,1,1,0,1,0,1
2008-09-16,1,-0.051945379723157506,27.04385389814269,3,1,0,0,1,0,1
2008-09-17,0,-0.09276988636363637,83.07008486552483,4,1,1,1,0,0,1
2008-09-18,1,0.046098579782790305,27.29245526864385,4,1,1,0,1,0,1
2008-09-19,1,0.026171874999999997,29.825023553215107,4,1,1,0,1,0,1
2008-09-22,0,-0.010721880458722566,21.80458689669042,3,1,0,0,1,0,1
2008-09-23,0,-0.1166666666666667,47.978971452911686,4,1,1,0,1,0,1
2008-09-24,0,-0.09618702553485163,45.37612817424627,5,1,1,0,1,1,1
2008-09-25,1,-0.04112554112554112,76.50638894825465,4,1,1,1,0,0,1
2008-09-26,1,0.0724242424242424,23.946616656449184,3,1,1,0,0,0,1
2008-09-29,0,0.029437229437229435,67.53827120140625,6,1,1,1,1,1,1
2008-09-30,1,0.09881338899196042,58.72096481237348,5,1,1,1,1,0,1
2008-10-01,0,0.1743469174503657,10.99283744089352,3,1,1,0,0,0,1
2008-10-02,0,0.16324242424242424,50.53240915003583,5,1,1,1,1,0,1
2008-10-03,0,-0.03813532146865481,37.99809421499677,4,1,1,0,1,0,1
2008-10-06,0,0.06578787878787877,24.790059877671183,3,1,1,0,0,0,1
2008-10-07,0,-0.07107007575757578,42.18390993723826,5,1,1,0,1,1,1
2008-10-08,0,0.00010398098633392982,33.13810127199542,3,1,1,0,0,0,1
2008-10-09,0,-0.07143250688705235,80.35822803182855,4,1,1,1,0,0,1
2008-10-10,0,0.017184265010351963,69.0955517170633,5,1,1,1,1,0,1
2008-10-13,1,0.074991391184573,61.74860218542373,4,1,1,1,0,0,1
2008-10-14,0,0.08440656565656568,22.42373306257612,4,1,1,0,0,1,1
2008-10-15,0,0.03800505050505051,66.44935097396427,4,1,1,1,0,0,1
2008-10-16,1,0.002968559218559219,70.90228524493608,4,1,1,1,0,0,1
2008-10-17,0,0.04702340869007536,65.30317009924066,4,1,1,1,1,0,0
2008-10-20,1,0.0980827505827506,58.8138247048055,6,1,1,1,1,1,1
2008-10-21,0,0.052696608946608936,26.453884135929783,4,1,1,0,0,1,1
2008-10-22,0,0.15748453927025355,13.135947636327375,4,1,1,0,1,0,1
2008-10-23,1,-0.03420589826839827,37.49868737969187,3,1,1,0,0,0,1
2008-10-24,0,-0.06657986111111111,41.61322977067229,4,1,1,0,1,0,1
2008-10-27,0,-0.07825963718820861,30.388242978749076,3,1,0,0,1,0,1
2008-10-28,1,-0.028219696969696947,62.15671281420617,4,1,0,1,1,0,1
2008-10-29,0,0.04349261849261848,65.75191299833139,5,1,1,1,0,1,1
2008-10-30,1,-0.12270531400966185,48.74644840955271,3,1,1,0,0,0,1
2008-10-31,1,-0.018694295900178265,35.52725293386408,3,1,1,0,0,0,1
2008-11-03,0,-0.0031069624819624825,33.546193512032104,5,1,1,0,1,1,1
2008-11-04,1,-0.0018817204301075194,20.681053971249547,2,1,0,0,0,0,1
2008-11-05,0,0.012259740259740245,69.72143017192737,4,1,1,1,0,0,1
2008-11-06,0,0.008125000000000002,32.11867640544659,4,1,1,0,1,0,1
2008-11-07,1,0.022859891431319983,17.53653900038796,4,1,0,0,1,1,1
2008-11-10,0,0.09352559205500383,8.555339441436667,2,1,0,0,1,0,0
2008-11-11,0,-0.05727272727272726,78.55860239584635,5,1,1,1,1,0,1
2008-11-12,0,-0.024690082644628103,74.41753776363247,5,1,1,1,1,0,1
2008-11-13,1,0.0008763227513227436,33.039941125589785,4,1,1,0,1,0,1
2008-11-14,0,-0.05555555555555556,78.34035985763062,5,1,1,1,1,0,1
2008-11-17,0,0.05309912008281574,26.402727311514717,5,1,1,0,1,1,1
2008-11-18,1,0.006430375180375185,32.334053364116436,4,1,1,0,1,0,1
2008-11-19,0,0.03970588235294118,15.39551153020034,2,1,0,0,1,0,0
2008-11-20,0,0.07717013888888889,23.343440817832708,4,1,1,0,1,0,1
2008-11-21,1,0.03601398601398601,15.864730082885362,3,1,0,0,1,0,1
2008-11-24,1,0.07054166666666667,24.18588108621364,5,1,1,0,1,1,1
2008-11-25,1,0.02453703703703704,17.323383548147035,3,1,0,0,1,0,1
2008-11-26,1,0.034808612440191386,54.14618125961185,4,1,0,1,1,0,1
2008-11-28,1,-0.057390873015873006,78.57361803266686,4,1,1,1,0,0,1
2008-12-01,0,0.044444444444444446,65.63094145565525,5,1,1,1,1,1,0
2008-12-02,1,0.05124389051808407,26.638516199213612,4,1,1,0,1,0,1
2008-12-03,1,-0.04583333333333334,64.3953035554632,3,1,0,1,0,0,1
2008-12-04,0,0.04328703703703704,53.068622803702745,4,1,0,1,1,0,1
2008-12-05,1,-0.020466269841269844,35.75246051601138,4,1,1,0,1,0,1
2008-12-08,1,0.06945454545454545,24.324047869598754,3,1,1,0,0,0,1
2008-12-09,0,-0.018446368446368443,73.62399800235212,4,1,1,1,1,0,0
2008-12-10,1,0.12551652892561982,4.489477423838277,3,1,0,0,1,0,1
2008-12-11,0,0.02206460206460205,17.637615653510565,2,1,0,0,1,0,0
2008-12-12,1,-0.06435202728306179,79.45834025409084,6,1,1,1,1,1,1
2008-12-15,0,-0.025961538461538442,36.450877197273776,2,1,1,0,0,0,0
2008-12-16,1,0.020977011494252875,30.485260491572035,4,1,1,0,1,0,1
2008-12-17,0,0.04015151515151515,28.0482925952685,4,1,1,0,1,0,1
2008-12-18,0,0.03364702929920321,67.00323012306221,4,1,1,1,0,0,1
2008-12-19,0,0.06728896103896102,62.72753625974944,5,1,1,1,1,0,1
2008-12-22,0,-0.07230929989550679,67.76024492181692,3,1,0,1,0,0,1
2008-12-23,0,-0.024378787878787875,36.2497188034523,2,0,1,0,0,0,1
2008-12-24,1,0.15567327409432674,51.49440411183127,4,1,1,1,0,0,1
2008-12-26,1,0.1022222222222222,45.57830353253857,3,1,0,1,0,0,1
2008-12-29,0,0.17801932367149761,10.526095968829692,3,1,1,0,0,0,1
2008-12-30,1,-0.06845481845481846,29.142107542367256,3,1,0,0,1,0,1
2008-12-31,1,0.04875090187590187,26.955360556462267,5,1,1,0,1,1,1
2009-01-02,1,0.000694444444444453,33.06305680059338,3,1,1,0,0,0,1
2009-01-05,0,-0.06306138306138306,28.456633271975328,2,1,0,0,1,0,0
2009-01-06,1,0.010138248847926268,69.99105939181679,5,1,1,1,1,0,1
2009-01-07,0,0.06833333333333333,24.466547409257263,3,1,1,0,0,0,1
2009-01-08,0,-0.019993894993895,61.11126122418356,3,1,0,1,0,0,1
2009-01-09,0,0.05600142045454543,26.0338618139895,4,1,1,0,1,0,1
2009-01-12,0,0.060878787878787886,50.83281358499161,3,1,0,1,0,0,1
2009-01-13,0,0.027204545454545453,55.11261394838407,4,1,0,1,1,0,1
2009-01-14,0,-0.1325,37.28187763124909,2,1,0,0,0,0,1
2009-01-15,1,0.048737373737373746,14.247661502214445,3,1,0,0,1,0,1
2009-01-16,1,-0.1382936507936508,50.7276353533389,3,1,1,0,0,0,1
2009-01-20,0,0.0267808769513315,17.038204545168828,2,1,0,0,0,0,1
2009-01-21,1,-0.029804317304317308,36.93927203866513,4,1,1,0,1,0,1
2009-01-22,0,-0.02402741702741703,36.205061611809,4,1,1,0,1,0,1
2009-01-23,0,0.015668202764976956,69.28823441106239,5,1,1,1,1,0,1
2009-01-26,1,-0.031123957343469552,75.23524581856708,4,1,1,1,0,0,1
2009-01-27,1,6.038647342994665e-05,33.14364188104068,4,1,1,0,1,0,1
2009-01-28,1,0.020198412698412698,30.584215870208105,4,1,1,0,0,1,1
2009-01-29,0,0.025378787878787876,68.05407551966823,5,1,1,1,0,1,1
2009-01-30,0,-0.04474206349206349,76.966027907417,5,1,1,1,1,0,1
2009-02-02,0,-0.020211038961038964,35.72002215555179,3,1,1,0,0,0,1
2009-02-03,1,-0.070974025974026,80.29995777429882,3,1,1,1,0,0,0
2009-02-04,0,-0.03163082437275985,24.461992062159784,3,1,0,0,1,0,1
2009-02-05,1,0.1206166056166056,55.94990278645826,5,1,1,1,1,0,1
2009-02-06,1,-0.013020833333333336,34.80618883836431,5,1,1,0,1,1,1
2009-02-09,0,-0.053967803030303026,40.010310540082244,5,1,1,0,1,1,1
2009-02-10,0,0.08809523809523807,21.9549242488669,3,1,1,0,0,0,1
2009-02-11,1,-0.006119281045751635,33.929041681904444,3,1,1,0,0,0,1
2009-02-12,0,-0.001957070707070706,33.40004895519121,5,1,1,0,1,1,1
2009-02-13,0,0.01810515873015874,30.85025627524945,4,1,1,0,1,0,1
2009-02-17,0,-0.03362265512265512,62.84339737194926,4,1,0,1,1,0,1
2009-02-18,1,-0.07616959064327485,30.122610218557412,2,1,0,0,0,0,1
2009-02-19,0,-0.04706851119894598,39.13345067446177,4,1,1,0,1,0,1
2009-02-20,0,-0.006410256410256409,72.09427816435212,4,1,1,1,0,0,1
2009-02-23,0,-0.06470734126984126,41.3752433893853,4,1,1,0,1,0,1
2009-02-24,1,0.035015829248366014,28.70100840451099,5,1,1,0,1,1,1
